icd_code,disease_name,chapter,synonyms,short_desc
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,Infectious diseases,,A bacterial infection in the urethra that can cause painful swelling around the bladder and prostate.
A562,"Chlamydial infection of genitourinary tract, unspecified",Infectious diseases,,"A bacterial infection that causes symptoms like discharge, itching, and pain in the genital area without a clear cause."
A598,Trichomoniasis of other sites,Infectious diseases,,It's a rare infection that occurs when the Trichomonas parasite moves from its usual genital area to another part of the body.
A601,Herpesviral infection of perianal skin and rectum,Infectious diseases,,"A viral infection that causes sores or irritation around the anus and rectum, often painful and uncomfortable."
A630,Anogenital (venereal) warts,Infectious diseases,,"Anogenital warts are small, harmless growths that appear on the skin around the anus and genitals."
A660,Initial lesions of yaws,Infectious diseases,,"""Small, painless bumps or sores on the skin that are the first signs of a yaws infection."
B000,Eczema herpeticum,Viral/parasitic diseases,,Eczema herpeticum is a rare and serious skin infection that can spread quickly if not treated properly.
B010,Varicella meningitis,Viral/parasitic diseases,,Varicella meningitis is a rare but serious illness that occurs when the varicella virus infects the lining of the brain.
B020,Zoster encephalitis,Viral/parasitic diseases,,Zoster encephalitis is a rare but serious complication of shingles that affects the brain and central nervous system.
B050,Measles complicated by encephalitis,Viral/parasitic diseases,,"When you have measles and it causes inflammation in your brain, it can lead to serious complications."
B069,Rubella without complication,Viral/parasitic diseases,,"""Rubella without complications means the virus has caused a mild illness with no serious health problems."
B070,Plantar wart,Viral/parasitic diseases,,"A small, rough growth on the bottom of your foot from a virus."
B081,Molluscum contagiosum,Viral/parasitic diseases,,"A skin infection that spreads easily and causes small, pimple-like bumps."
B150,Hepatitis A with hepatic coma,Viral/parasitic diseases,,A serious liver disease with inflammation that can cause brain damage.
B160,Acute hepatitis B with delta-agent with hepatic coma,Viral/parasitic diseases,,A rare but life-threatening liver disease caused by hepatitis B and another virus.
B170,Acute delta-(super) infection of hepatitis B carrier,Viral/parasitic diseases,,A severe infection in people who already have hepatitis B.
B180,Chronic viral hepatitis B with delta-agent,Viral/parasitic diseases,,A long-term liver disease caused by hepatitis B and another virus.
B190,Unspecified viral hepatitis with hepatic coma,Viral/parasitic diseases,,A type of viral liver disease with brain damage symptoms.
B250,Cytomegaloviral pneumonitis,Viral/parasitic diseases,,An inflammation of the lungs from a viral infection.
B260,Mumps orchitis,Viral/parasitic diseases,,"""Mumps orchitis"" means inflammation of the testicles caused by the mumps virus, often leading to swelling and pain."
B300,Keratoconjunctivitis due to adenovirus,Viral/parasitic diseases,,"It's a common eye infection caused by the adenovirus virus, often spread through touching contaminated surfaces or people."
B330,Epidemic myalgia,Viral/parasitic diseases,,Epidemic myalgia refers to a widespread muscle pain that affects many people at the same time.
B340,"Adenovirus infection, unspecified",Viral/parasitic diseases,,A general term for an adenovirus infection that doesn't specify the exact type or symptoms of the illness.
B350,Tinea barbae and tinea capitis,Viral/parasitic diseases,,"""Tinea barbae"" and ""tinea capitis"" are fungal infections that affect the hair on your face or head."
B360,Pityriasis versicolor,Viral/parasitic diseases,,Pityriasis versicolor is a skin condition that causes patches of discoloration on the skin due to yeast overgrowth.
B370,Candidal stomatitis,Viral/parasitic diseases,,Candidal stomatitis is a mild infection of the mouth caused by a fungus that can cause white patches and discomfort.
B380,Acute pulmonary coccidioidomycosis,Viral/parasitic diseases,,"A rare fungal infection that affects the lungs, usually caused by inhaling spores from a type of fungus."
B390,Acute pulmonary histoplasmosis capsulati,Viral/parasitic diseases,,A rare lung infection caused by a fungus called Histoplasma capsulatum that can be serious if not treated.
B400,Acute pulmonary blastomycosis,Viral/parasitic diseases,,Acute pulmonary blastomycosis is a rare lung infection caused by a fungus that can be serious and life-threatening.
B410,Pulmonary paracoccidioidomycosis,Viral/parasitic diseases,,"It's a rare fungal infection that affects the lungs and can cause symptoms like coughing, fever, and chest pain."
B420,Pulmonary sporotrichosis,Viral/parasitic diseases,,"Pulmonary sporotrichosis is a rare fungal infection that affects the lungs, usually caused by coming into contact with infected soil."
B430,Cutaneous chromomycosis,Viral/parasitic diseases,,Cutaneous chromomycosis is a rare skin infection caused by fungi that can cause thickened and discolored skin patches.
B440,Invasive pulmonary aspergillosis,Viral/parasitic diseases,,A rare but serious lung infection caused by a fungus called Aspergillus that can be life-threatening if not treated.
B450,Pulmonary cryptococcosis,Viral/parasitic diseases,,Pulmonary cryptococcosis is a rare lung infection caused by a fungus that can be life-threatening if not treated.
B460,Pulmonary mucormycosis,Viral/parasitic diseases,,"Pulmonary mucormycosis is a rare and serious fungal infection that affects the lungs, often in people with weakened immune systems."
B470,Eumycetoma,Viral/parasitic diseases,,"Eumycetoma is a rare fungal infection that causes painful sores or abscesses under the skin, usually on the foot."
C000,Malignant neoplasm of external upper lip,Neoplasms,,A rare and serious type of cancer that forms on the outer edge of the upper lip.
C020,Malignant neoplasm of dorsal surface of tongue,Neoplasms,,A type of cancer that grows on the back side of the tongue.
C030,Malignant neoplasm of upper gum,Neoplasms,,A malignant tumor in the upper gum that can be cancerous and needs medical attention.
C040,Malignant neoplasm of anterior floor of mouth,Neoplasms,,"A rare and serious cancer that forms in the front part of the mouth, near the tongue."
C050,Malignant neoplasm of hard palate,Neoplasms,,A rare and serious type of cancer that develops on the hard part of your roof in your mouth.
C060,Malignant neoplasm of cheek mucosa,Neoplasms,,A type of cancer that forms in the lining of your cheeks and can be painful and affect eating.
C080,Malignant neoplasm of submandibular gland,Neoplasms,,A rare and serious cancer that develops in the salivary gland under your lower jawbone.
C090,Malignant neoplasm of tonsillar fossa,Neoplasms,,A rare and serious type of cancer that develops in the tissue near the back of the throat.
C100,Malignant neoplasm of vallecula,Neoplasms,,"A malignant tumor grows in the small pocket under the tongue, which can be cancerous and spread to other parts."
C110,Malignant neoplasm of superior wall of nasopharynx,Neoplasms,,A rare and serious cancer that grows on the upper part of the back of the nose.
C130,Malignant neoplasm of postcricoid region,Neoplasms,,A rare and serious type of cancer that grows in the back part of the throat.
C140,"Malignant neoplasm of pharynx, unspecified",Neoplasms,,A type of cancer that develops in the throat area without specifying exactly where it's located.
C153,Malignant neoplasm of upper third of esophagus,Neoplasms,,"A type of cancer that grows in the top part of the esophagus, which is the tube that carries food."
C160,Malignant neoplasm of cardia,Neoplasms,,A malignant tumor in the stomach that can be cancerous and spread to other parts of the body.
C170,Malignant neoplasm of duodenum,Neoplasms,,"A malignant tumor growing in the lining of the duodenum, which is part of the small intestine."
C180,Malignant neoplasm of cecum,Neoplasms,,"A malignant tumor growing in the cecum, which is part of the large intestine, can be life-threatening."
C210,"Malignant neoplasm of anus, unspecified",Neoplasms,,"A type of cancer that develops in the anus, but its exact location or cause isn't specified."
C220,Liver cell carcinoma,Neoplasms,,"Liver cell carcinoma is a type of cancer that forms in the liver cells, which can be life-threatening."
C240,Malignant neoplasm of extrahepatic bile duct,Neoplasms,,A rare and serious cancer that forms in the bile ducts outside the liver.
C250,Malignant neoplasm of head of pancreas,Neoplasms,neoplasm of uncertain behavior|Neoplasm of uncertain behavior disorder|Neoplasm of uncertain behavior disease,Neoplasm of uncertain behavior within Neoplasms. Category-level grouping.
C260,"Malignant neoplasm of intestinal tract, part unspecified",Neoplasms,,A type of cancer that grows in the intestines and can be anywhere along its length.
C300,Malignant neoplasm of nasal cavity,Neoplasms,,A malignant tumor in the nose that can be cancerous and needs medical attention to prevent further growth.
C310,Malignant neoplasm of maxillary sinus,Neoplasms,,"A rare and serious type of cancer that develops in the maxillary sinus, a part of the nasal cavity."
C320,Malignant neoplasm of glottis,Neoplasms,,A malignant tumor growing on the vocal cords can cause voice changes and breathing difficulties.
C342,"Malignant neoplasm of middle lobe, bronchus or lung",Neoplasms,,A type of cancer that forms in the lungs or airways.
C380,Malignant neoplasm of heart,Neoplasms,,Cancer that develops in the heart muscle.
C390,"Malignant neoplasm of upper respiratory tract, part unspecified",Neoplasms,,Cancer that grows in the upper part of the respiratory system but doesn't specify where exactly.
C410,Malignant neoplasm of bones of skull and face,Neoplasms,,Cancer that affects the bones around the skull and face.
C430,Malignant melanoma of lip,Neoplasms,,"Cancer that occurs on the lip, usually due to sun exposure."
C450,Mesothelioma of pleura,Neoplasms,,A rare cancer that forms in the lining surrounding the lungs.
C460,Kaposi's sarcoma of skin,Neoplasms,,A type of skin cancer caused by a viral infection.
C470,"Malignant neoplasm of peripheral nerves of head, face and neck",Neoplasms,,"Cancer that grows in the nerves near the head, face, and neck."
C480,Malignant neoplasm of retroperitoneum,Neoplasms,,A rare and serious cancer that forms in the tissues behind the abdominal organs.
C490,"Malignant neoplasm of connective and soft tissue of head, face and neck",Neoplasms,,"A type of cancer that forms in the tissues around your head, face, or neck."
C4A0,Merkel cell carcinoma of lip,Neoplasms,,"A rare and aggressive skin cancer that starts on the lips, often appearing as a small, bleeding bump."
C510,Malignant neoplasm of labium majus,Neoplasms,,A rare and serious type of cancer that develops in the upper lip area.
C530,Malignant neoplasm of endocervix,Neoplasms,,"A type of cancer that develops in the cervix, which is the lower part of the uterus."
C540,Malignant neoplasm of isthmus uteri,Neoplasms,,A rare and serious type of cancer that develops in the narrow part of the uterus.
C561,Malignant neoplasm of right ovary,Neoplasms,,A type of cancer that develops in the ovaries and can spread to other parts of the body.
C573,Malignant neoplasm of parametrium,Neoplasms,,A malignant tumor that grows in the tissue surrounding the uterus or other organs in the pelvic area.
C600,Malignant neoplasm of prepuce,Neoplasms,,"A rare and serious medical condition where abnormal cells grow on the foreskin, often requiring surgical removal."
C632,Malignant neoplasm of scrotum,Neoplasms,,A malignant tumor growing in the scrotum that can spread to other parts of the body and be life-threatening.
D001,Carcinoma in situ of esophagus,Blood disorders,,A rare and non-cancerous condition where abnormal cells form in the lining of the esophagus without invading deeper tissues.
D010,Carcinoma in situ of colon,Blood disorders,,"A rare condition where abnormal cells are found only in the lining of the colon, but haven't invaded deeper."
D020,Carcinoma in situ of larynx,Blood disorders,,A rare and serious condition where cancer cells are present on the surface of the larynx but haven't spread.
D030,Melanoma in situ of lip,Blood disorders,,It's a rare and treatable skin cancer that only affects the outer layer of the lip.
D040,Carcinoma in situ of skin of lip,Blood disorders,,"A rare condition where abnormal cells form on the surface of the lip, but haven't spread to deeper tissues."
D060,Carcinoma in situ of endocervix,Blood disorders,,"It's a rare and non-cancerous condition where abnormal cells are found on the surface of the cervix, but haven't spread."
D070,Carcinoma in situ of endometrium,Blood disorders,,It's a rare condition where cancer cells are present in the lining of the uterus but haven't spread yet.
D090,Carcinoma in situ of bladder,Blood disorders,,It's a rare and non-cancerous condition where abnormal cells are found on the inside lining of the bladder.
D100,Benign neoplasm of lip,Blood disorders,,A benign tumor on the lip that's usually harmless and can be removed by a doctor.
D110,Benign neoplasm of parotid gland,Blood disorders,,"A benign tumor in the parotid gland, which is a small salivary gland near your ear."
D120,Benign neoplasm of cecum,Blood disorders,,"A benign tumor in the first part of the large intestine, usually found during a colonoscopy or X-ray."
D130,Benign neoplasm of esophagus,Blood disorders,,A benign tumor in the esophagus that's non-cancerous and usually grows slowly without causing harm.
D140,"Benign neoplasm of middle ear, nasal cavity and accessory sinuses",Blood disorders,,"A benign growth in the middle ear, nose, or surrounding areas that's usually harmless and doesn't cause problems."
D150,Benign neoplasm of thymus,Blood disorders,,A benign tumor in the thymus gland that's usually harmless and often goes away on its own.
D164,Benign neoplasm of bones of skull and face,Blood disorders,,A non-cancerous growth on the bones of your skull and face.
D170,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck",Blood disorders,,"A small, harmless lump under your skin on the head, face, or neck."
D181,"Lymphangioma, any site",Blood disorders,,A benign fluid-filled sac that can appear anywhere in the body.
D190,Benign neoplasm of mesothelial tissue of pleura,Blood disorders,,A non-cancerous growth on the lining surrounding the lungs.
D200,Benign neoplasm of soft tissue of retroperitoneum,Blood disorders,,A non-cancerous growth in soft tissue near the kidneys.
D210,"Benign neoplasm of connective and other soft tissue of head, face and neck",Blood disorders,,"A non-cancerous growth in soft tissue of the head, face, and neck."
D220,Melanocytic nevi of lip,Blood disorders,,"A common, harmless mole on the lip."
D230,Other benign neoplasm of skin of lip,Blood disorders,,A benign growth on the skin of your lower lip.
D241,Benign neoplasm of right breast,Blood disorders,,A benign tumor in the right breast that's non-cancerous and usually doesn't cause problems or spread.
D250,Submucous leiomyoma of uterus,Blood disorders,,A submucous leiomyoma is a type of non-cancerous growth in the uterus that can cause bleeding and discomfort.
D260,Other benign neoplasm of cervix uteri,Blood disorders,,A non-cancerous growth on the cervix that's not typically serious and usually doesn't require treatment.
D270,Benign neoplasm of right ovary,Blood disorders,,A benign tumor in the right ovary that's non-cancerous and usually doesn't cause symptoms or spread to other parts.
D280,Benign neoplasm of vulva,Blood disorders,,A benign tumor on the vulva that's non-cancerous and usually doesn't cause symptoms or problems.
D290,Benign neoplasm of penis,Blood disorders,,A benign growth on the penis that's non-cancerous and usually not painful or serious.
D303,Benign neoplasm of bladder,Blood disorders,,A benign tumor in the bladder that's non-cancerous and usually doesn't cause symptoms or problems.
D320,Benign neoplasm of cerebral meninges,Blood disorders,,A benign tumor that grows on the protective membranes covering the brain and spinal cord.
E000,"Congenital iodine-deficiency syndrome, neurological type",Endocrine/metabolic,,It's a rare condition where babies are born with brain and nervous system problems due to lack of iodine in the womb.
E010,Iodine-deficiency related diffuse (endemic) goiter,Endocrine/metabolic,,A condition where the thyroid gland gets enlarged due to a lack of iodine in the diet.
E030,Congenital hypothyroidism with diffuse goiter,Endocrine/metabolic,,It's a rare condition where the thyroid gland doesn't form properly and grows too big in the neck.
E040,Nontoxic diffuse goiter,Endocrine/metabolic,,A non-toxic diffuse goiter is a type of thyroid problem where the thyroid gland becomes enlarged and lumpy.
E060,Acute thyroiditis,Endocrine/metabolic,,Acute thyroiditis is an inflammation of the thyroid gland that can cause pain and swelling in the neck.
E070,Hypersecretion of calcitonin,Endocrine/metabolic,,Hypersecretion of calcitonin means your body produces too much a hormone that helps regulate calcium levels in the blood.
E088,Diabetes mellitus due to underlying condition with unspecified complications,Endocrine/metabolic,,A medical condition where the body has trouble regulating blood sugar levels due to an unknown underlying cause.
E098,Drug or chemical induced diabetes mellitus with unspecified complications,Endocrine/metabolic,,A type of diabetes caused by certain medicines or chemicals that can damage the body's ability to regulate blood sugar.
E108,Type 1 diabetes mellitus with unspecified complications,Endocrine/metabolic,,"A type of diabetes where the body can't regulate blood sugar levels properly, but the exact problems aren't known."
E118,Type 2 diabetes mellitus with unspecified complications,Endocrine/metabolic,,"A type of diabetes where the body can't regulate blood sugar levels properly, but the exact problems aren't known."
E138,Other specified diabetes mellitus with unspecified complications,Endocrine/metabolic,,This medical term refers to a type of diabetes where the exact cause and severity are unknown.
E160,Drug-induced hypoglycemia without coma,Endocrine/metabolic,,A rare condition where taking certain medications causes low blood sugar levels that aren't severe enough to cause unconsciousness.
E200,Idiopathic hypoparathyroidism,Endocrine/metabolic,,"A rare condition where the parathyroid glands don't produce enough parathyroid hormone, affecting calcium levels in the body."
E210,Primary hyperparathyroidism,Endocrine/metabolic,,Primary hyperparathyroidism is a rare condition where one or more of your parathyroid glands produce too much calcium.
E220,Acromegaly and pituitary gigantism,Endocrine/metabolic,obesity|Obesity disorder|Obesity disease,"Obesity within Endocrine, nutritional and metabolic diseases. Category-level grouping."
E230,Hypopituitarism,Endocrine/metabolic,,Hypopituitarism is a rare condition where the pituitary gland doesn't produce enough hormones that control many bodily functions.
E240,Pituitary-dependent Cushing's disease,Endocrine/metabolic,,"It's a rare condition where your pituitary gland produces too much cortisol, leading to excessive weight gain and other issues."
E250,Congenital adrenogenital disorders associated with enzyme deficiency,Endocrine/metabolic,type 2 diabetes|Type 2 diabetes disorder|Type 2 diabetes disease,"Type 2 diabetes within Endocrine, nutritional and metabolic diseases. Category-level grouping."
E261,Secondary hyperaldosteronism,Endocrine/metabolic,,Secondary hyperaldosteronism occurs when the body's response to a different condition causes high levels of a hormone called aldosterone.
E270,Other adrenocortical overactivity,Endocrine/metabolic,,"""Other adrenocortical overactivity"" means having too much activity in the adrenal glands, which can cause various health issues."
E280,Estrogen excess,Endocrine/metabolic,,Excess estrogen in the body can cause hormonal imbalances and lead to various health issues in women.
E290,Testicular hyperfunction,Endocrine/metabolic,,Testicular hyperfunction is a rare condition where the testicles produce too much testosterone hormone.
E300,Delayed puberty,Endocrine/metabolic,,"Delayed puberty means your body doesn't start developing normally at the expected age, usually around 12-14 years old."
E310,Autoimmune polyglandular failure,Endocrine/metabolic,,It's a rare condition where your immune system mistakenly attacks and damages multiple organs in your body.
E320,Persistent hyperplasia of thymus,Endocrine/metabolic,,It's a rare condition where the thymus gland grows too much and can cause problems with the immune system.
E341,Other hypersecretion of intestinal hormones,Endocrine/metabolic,,It's a rare condition where the intestines produce too many hormones that help with digestion and absorption.
E368,Other intraoperative complications of endocrine system,Endocrine/metabolic,,"Other complications during surgery that can affect the endocrine system include bleeding, infection, or damage to nearby organs."
E440,Moderate protein-calorie malnutrition,Endocrine/metabolic,,Moderate protein-calorie malnutrition means your body isn't getting enough nutrients to stay healthy and strong.
E500,Vitamin A deficiency with conjunctival xerosis,Endocrine/metabolic,,A condition where the eyes become dry and irritated due to a lack of Vitamin A in the body.
E512,Wernicke's encephalopathy,Endocrine/metabolic,,"Wernicke's encephalopathy is a brain disorder that causes confusion, memory loss, and eye problems due to vitamin B12 deficiency."
E530,Riboflavin deficiency,Endocrine/metabolic,,A Riboflavin deficiency means your body isn't getting enough of a vital nutrient that helps keep you healthy.
E550,"Rickets, active",Endocrine/metabolic,,"""Rickets, active"" means a type of bone disease that can cause weak bones and deformities in children."
E560,Deficiency of vitamin E,Endocrine/metabolic,,"A deficiency in vitamin E can cause problems with the immune system and skin health, leading to fatigue."
E610,Copper deficiency,Endocrine/metabolic,,"A copper deficiency means your body doesn't have enough of this essential mineral, which affects many bodily functions."
E630,Essential fatty acid [EFA] deficiency,Endocrine/metabolic,,"A lack of essential fatty acids in the body can cause problems with skin, brain, and heart health."
E640,Sequelae of protein-calorie malnutrition,Endocrine/metabolic,,"Protein-calorie malnutrition can lead to long-term health problems, such as weakened immune systems and poor growth in children."
E661,Drug-induced obesity,Endocrine/metabolic,,"""Drug-induced obesity occurs when certain medications cause weight gain or make people feel hungrier and eat more."
E670,Hypervitaminosis A,Endocrine/metabolic,,"Hypervitaminosis A is a condition where you take too much vitamin A, which can cause health problems."
E700,Classical phenylketonuria,Endocrine/metabolic,,A rare genetic disorder that affects how the body breaks down an amino acid called phenylalanine.
E710,Maple-syrup-urine disease,Endocrine/metabolic,,Maple syrup urine disease is a rare genetic disorder that affects how the body breaks down certain amino acids.
E723,Disorders of lysine and hydroxylysine metabolism,Endocrine/metabolic,,It's a group of rare genetic disorders that affect the body's ability to process certain amino acids.
E730,Congenital lactase deficiency,Endocrine/metabolic,,"It's a rare condition where some people are born without the ability to digest lactose, a sugar in milk."
E744,Disorders of pyruvate metabolism and gluconeogenesis,Endocrine/metabolic,,"It refers to problems with how the body makes energy from food, specifically with a key molecule called pyruvate."
E753,"Sphingolipidosis, unspecified",Endocrine/metabolic,,"""Sphingolipidosis, unspecified"" is a rare genetic disorder affecting the body's ability to break down certain fatty substances."
E761,"Mucopolysaccharidosis, type II",Endocrine/metabolic,,A rare genetic disorder that affects the body's ability to break down and recycle sugar molecules.
E770,Defects in post-translational modification of lysosomal enzymes,Endocrine/metabolic,,"This refers to errors that occur when enzymes inside cells are modified after they're made, affecting their function."
E781,Pure hyperglyceridemia,Endocrine/metabolic,,Pure hypercholesterolemia means having very high levels of a type of fat in the blood called cholesterol.
E790,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease,Endocrine/metabolic,,High levels of uric acid in the blood with no symptoms or problems like joint pain or kidney stones.
E800,Hereditary erythropoietic porphyria,Endocrine/metabolic,,A rare genetic disorder that affects the production of red blood cells and can cause painful skin blistering.
E832,Disorders of zinc metabolism,Endocrine/metabolic,,Disorders of zinc metabolism refer to problems with how the body absorbs and uses zinc for good health.
F060,Psychotic disorder with hallucinations due to known physiological condition,Mental health,,A person has severe mental health issues caused by a medical condition that affects their brain and senses.
F070,Personality change due to known physiological condition,Mental health,,A person's behavior or mood changes because of a medical condition that affects their brain or body.
F200,Paranoid schizophrenia,Mental health,,"A type of severe mental illness where a person has strong, persistent delusions and disorganized thinking patterns."
F250,"Schizoaffective disorder, bipolar type",Mental health,,A mental health condition where a person experiences extreme mood swings and sometimes hallucinations or delusions.
F302,"Manic episode, severe with psychotic symptoms",Mental health,,A severe mental health episode where a person loses touch with reality and experiences extreme mood swings.
F310,"Bipolar disorder, current episode hypomanic",Mental health,,A person with bipolar disorder has an abnormally high mood that's less severe than a full-blown manic episode.
F320,"Major depressive disorder, single episode, mild",Mental health,,"It's a type of depression that affects your mood and daily life for the first time, but it's not severe."
F330,"Major depressive disorder, recurrent, mild",Mental health,,A type of depression that happens when you feel sad or hopeless for more than two weeks at a time.
F340,Cyclothymic disorder,Mental health,,Cyclothymic disorder is a mental health condition where you experience periods of mild depression and anxiety that last two years.
F408,Other phobic anxiety disorders,Mental health,,"Other phobic anxiety disorders include specific fears like claustrophobia, agoraphobia, and social anxiety, among others."
F410,Panic disorder [episodic paroxysmal anxiety],Mental health,,"It's a condition where people experience sudden, intense feelings of extreme fear or anxiety that can be overwhelming."
F422,Mixed obsessional thoughts and acts,Mental health,,"It's when you have unwanted, intrusive thoughts that can be distressing, and sometimes you act on them without thinking."
F430,Acute stress reaction,Mental health,,An acute stress reaction is a temporary emotional response to a stressful event that can feel overwhelming and scary.
F440,Dissociative amnesia,Mental health,,Dissociative amnesia is a condition where people forget important information or events due to extreme stress or trauma.
F450,Somatization disorder,Mental health,,Somatization disorder is a condition where people experience physical symptoms like pain or illness without any clear medical cause.
F481,Depersonalization-derealization syndrome,Mental health,,"It's a mental health condition where people feel like they're observing their life from outside their body, detached."
F509,"Eating disorder, unspecified",Mental health,,"""Eating disorder, unspecified"" means a person's eating habits are unhealthy and not clearly caused by another specific condition."
F513,Sleepwalking [somnambulism],Mental health,,"Sleepwalking, or somnambulism, is when a person gets up and walks around while they're still asleep."
F520,Hypoactive sexual desire disorder,Mental health,,"It's a condition where people have low or almost no interest in sex, and it can cause emotional distress."
F530,Postpartum depression,Mental health,,Postpartum depression is a type of sadness or emotional struggle that some women experience after giving birth to a baby.
F550,Abuse of antacids,Mental health,,Taking too many antacids can lead to an imbalance of stomach acid and cause more problems than it solves.
F600,Paranoid personality disorder,Mental health,,"A person with paranoid personality disorder has an irrational and persistent distrust of others, often leading to anxiety and conflict."
F630,Pathological gambling,Mental health,,Pathological gambling is a serious mental health condition where people compulsively gamble despite negative effects on their lives.
